86,CORBEN BABY ACE/1,3,30000.0,10.0,594.0
87,CORBEN/JUNIOR ACE,3,30000.0,10.0,594.0
88,CORBEN JR/MJA SPORT,3,30000.0,10.0,594.0
89,MORRIS/CORBEN BABY ACE C,3,30000.0,10.0,594.0
90,CORBEN JR. ACE/E,3,30000.0,10.0,594.0
91,CORBEN/E,3,30000.0,10.0,594.0
92,FANNING/SPECIAL BABY ACE JR,3,30000.0,10.0,594.0
93,LOGAN/JR ACE E,3,30000.0,10.0,594.0
94,SIPPEL/JUNIOR ACE-PARASOL,3,30000.0,10.0,594.0
95,VINYARD/JUNIOR ACE,3,30000.0,10.0,594.0
96,YARGER/JUNIOR ACE,3,30000.0,10.0,594.0
97,WORCH/CORBEN JUNIOR ACE,3,30000.0,10.0,594.0
98,CORBEN - ROE/1-PCLM,3,30000.0,10.0,594.0
99,DAVIS/BABY ACE D,3,30000.0,10.0,594.0
100,KREITZBERG JEFFREY/CORBEN BABY ACE D,3,30000.0,10.0,594.0
101,STEUBER/BABY ACE D,3,30000.0,10.0,594.0
102,"LEVERT/BABY ACE ""D""",3,30000.0,10.0,594.0
103,"FARWELL/BABY ACE ""D""",3,30000.0,10.0,594.0
104,UPTON/CORBIN BABY ACE,3,30000.0,10.0,594.0
105,"HANSON/CORBEN BABY ACE ""C""",3,30000.0,10.0,594.0
106,PROESCHER/CORBEN ACE HP-1,3,30000.0,10.0,594.0
107,HANSEN-HERSHBERGER/CORBEN BABY ACE D,3,30000.0,10.0,594.0
108,NELSON/BABY ACE D,3,30000.0,10.0,594.0
109,WRIGHT/BABY ACE D,3,30000.0,10.0,594.0
110,HAND/BABY ACE #1,3,30000.0,10.0,594.0
111,JAMES/CORBEN SUPER ACE,3,30000.0,10.0,594.0
112,MULLIS/BABY ACE D,3,30000.0,10.0,594.0
113,MAGEE-TRASK/BABY ACE D,3,30000.0,10.0,594.0
114,"HUDSON/BABY ACE ""D""",3,30000.0,10.0,594.0
115,"HERRING/BABY ACE ""D""",3,30000.0,10.0,594.0
116,DUKE/CORBEN BABY ACE D,3,30000.0,10.0,594.0
117,AVERY/CORBEN BABY ACE,3,30000.0,10.0,594.0
118,BRUSH/BABY ACE D,3,30000.0,10.0,594.0
119,NUGENT/BABY ACE D,3,30000.0,10.0,594.0
